Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-11;98,50;99,10;99,40;101,80;98,00;98,90;99,16;19224;1906256,3;205;
2022-04-08;100,00;100,60;101,00;102,40;98,90;100,20;100,185;12480;1250305,2;148;
2022-04-07;101,20;102,00;104,60;104,60;100,40;101,00;101,852;7786;792961,4;109;
2022-04-06;103,40;104,40;108,00;108,00;102,00;104,60;104,162;17534;1826373,2;175;
2022-04-05;106,60;108,00;107,60;110,40;104,40;106,80;107,749;14803;1595001,4;194;
2022-04-04;106,80;108,00;105,40;108,00;102,60;106,40;106,483;16007;1704475;156;
2022-04-01;103,80;104,40;104,00;105,40;101,60;105,40;103,163;4820;497247,2;85;
2022-03-31;103,60;104,60;100,80;109,00;100,60;104,00;103,488;24163;2500589;208;
2022-03-30;101,00;102,40;103,20;103,20;99,10;100,80;101,11;9835;994426,5;125;
2022-03-29;101,80;103,00;101,80;103,00;100,60;102,80;101,787;8686;884125,4;84;
2022-03-28;99,50;100,60;99,20;101,80;97,10;100,60;99,24;22745;2257221,7;235;
2022-03-25;99,10;99,90;100,00;102,00;99,10;99,20;99,87;15667;1564655;114;
2022-03-24;100,00;100,80;104,00;105,40;99,30;100,40;101,632;28142;2860134,9;248;
2022-03-23;104,40;105,40;110,00;111,20;100,40;104,00;102,36;171993;17606403,4;402;
2022-03-22;107,80;109,00;107,00;109,80;106,20;109,00;107,15;126038;13505028,2;92;
2022-03-21;106,40;107,00;103,00;109,40;103,00;106,80;107,074;19612;2099893,6;161;
2022-03-18;103,40;104,00;103,20;105,20;101,80;104,40;103,028;502699;51792659;155;
2022-03-17;102,00;103,00;103,80;105,40;101,80;103,00;103,964;111439;11584273,2;119;
2022-03-16;101,80;103,00;102,40;105,00;101,60;101,60;102,895;12764;1312064,7;93;
2022-03-15;98,50;99,90;100,60;100,80;98,70;99,90;99,453;9742;968867,6;126;
2022-03-14;100,60;101,60;98,30;102,20;98,20;100,60;100,234;38714;3883578,5;319;
2022-03-11;96,80;97,50;97,00;98,90;95,40;96,50;97,07;23786;2309649,4;324;
2022-03-10;94,90;95,50;97,00;98,50;94,00;95,40;96,585;10156;980913,9;159;
2022-03-09;96,20;97,30;93,00;98,40;92,90;96,00;96,196;17282;1662373,7;261;
2022-03-08;90,90;93,20;94,50;98,30;90,10;91,20;93,541;46435;4343577,8;257;
2022-03-07;94,40;97,10;92,00;99,00;88,30;94,50;92,422;106710;9861352;538;
2022-03-04;95,60;96,90;98,50;99,00;93,70;94,80;96,132;34044;3272716,8;281;
2022-03-03;98,10;98,90;101,40;103,00;98,00;98,10;99,335;15093;1499264,7;145;
