Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-11;83,40;83,80;83,40;84,20;83,30;83,80;83,692;17867;1495330,7;97;
2022-04-08;83,30;83,50;83,50;84,10;83,30;83,30;83,855;15284;1281646,2;107;
2022-04-07;83,20;83,50;84,00;84,40;83,20;83,20;83,862;17285;1449894,1;137;
2022-04-06;83,70;83,90;84,40;84,50;83,60;83,90;84,002;21398;1797482,9;107;
2022-04-05;84,20;84,40;84,50;84,60;83,60;84,40;84,148;24939;2098555,2;183;
2022-04-04;84,00;84,20;83,80;84,50;83,30;84,10;83,981;54920;4612245,7;175;
2022-04-01;83,60;83,80;83,40;84,00;82,40;83,80;83,345;27936;2328311;222;
2022-03-31;83,20;83,40;83,20;84,00;82,80;83,40;83,50;43348;3619574,8;188;
2022-03-30;82,60;82,80;82,60;83,40;82,40;82,80;82,812;42895;3552212;175;
2022-03-29;82,60;83,20;82,20;83,20;82,20;82,60;82,62;25293;2089718,6;112;
2022-03-28;82,00;82,40;81,40;82,40;81,40;82,20;81,954;18481;1514582,6;108;
2022-03-25;80,60;81,20;81,60;81,60;80,40;80,80;80,971;36849;2983708,6;160;
2022-03-24;80,60;80,80;80,80;81,60;80,40;80,40;81,113;20761;1683989,8;96;
2022-03-23;81,00;81,40;82,00;82,00;80,80;81,00;81,41;25954;2112905,6;114;
2022-03-22;81,60;81,80;81,40;82,20;81,40;81,80;81,743;19546;1597749,4;113;
2022-03-21;81,20;81,60;81,40;82,20;80,80;81,60;81,415;28622;2330262,6;128;
2022-03-18;81,00;81,40;81,00;81,40;80,60;81,40;80,959;16032;1297930;88;
2022-03-17;80,60;81,00;81,60;82,00;80,60;81,00;81,349;14159;1151819,2;102;
2022-03-16;81,40;81,80;81,40;82,20;81,40;81,40;81,903;15266;1250328,2;101;
2022-03-15;81,20;81,40;81,60;81,60;81,00;81,20;81,37;8603;700024,6;71;
2022-03-14;81,40;81,60;80,60;81,60;80,60;81,40;81,114;21130;1713935,8;129;
2022-03-11;80,40;80,60;78,80;80,60;78,60;80,40;79,854;17031;1359987,6;132;
2022-03-10;78,60;79,00;79,80;79,80;78,20;78,80;79,148;24373;1929073,2;119;
2022-03-09;78,80;79,20;79,60;79,60;78,60;78,80;79,073;15867;1254654,6;77;
2022-03-08;78,00;78,80;77,00;78,80;77,00;78,00;78,19;24406;1908302,6;148;
2022-03-07;77,60;78,00;77,80;78,20;75,20;78,00;76,463;40555;3100973,2;311;
2022-03-04;77,80;78,00;79,00;79,00;77,60;78,00;78,038;30937;2414257,4;252;
2022-03-03;78,60;79,00;79,80;79,80;78,80;79,00;79,548;35703;2840092,8;160;
2022-03-02;79,60;79,80;79,80;79,80;79,20;79,80;79,637;40049;3189361,2;171;
2022-03-01;79,60;79,80;79,80;80,00;79,40;79,80;79,557;7345;584347,4;66;
2022-02-28;79,80;80,60;79,80;80,00;78,60;79,80;79,286;24836;1969147,6;171;
