Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-05-05;176,04;176,08;181,98;182,28;176,00;176,46;179,08;3345991;599285792,74;15616;
2022-05-04;178,44;178,58;180,00;180,80;176,62;178,14;178,423;3848414;686638996,5;24231;
2022-05-03;183,44;183,54;187,30;187,80;182,82;182,90;184,237;3615499;666163054,69;17617;
2022-05-02;186,10;186,18;189,92;189,92;182,00;186,12;187,00;3618868;676746042,01;19259;
2022-04-29;191,90;191,98;190,14;194,14;188,34;191,14;191,298;4018646;768938181,4;18789;
2022-04-28;188,18;188,22;190,80;192,32;187,06;188,18;188,998;3452424;652488944,75;16016;
2022-04-27;188,64;188,72;187,86;190,88;185,70;188,94;188,735;3158277;596090875,81;17585;
2022-04-26;187,88;187,92;192,92;193,64;187,86;187,86;190,092;3642609;692682298,47;19997;
2022-04-25;190,78;190,86;194,96;195,54;190,04;190,74;191,825;4067119;780177001,33;28788;
2022-04-22;198,44;198,48;202,90;204,40;198,00;198,00;200,407;3512784;704006126,32;17919;
2022-04-21;205,60;205,80;209,40;211,05;203,90;205,30;206,582;3835054;792355756,72;14680;
2022-04-20;209,25;209,35;208,55;212,10;207,85;209,15;209,891;2554063;536153764,07;10508;
2022-04-19;207,80;207,90;209,70;209,70;206,70;208,25;208,149;2864056;596145751,75;10672;
2022-04-14;207,95;208,05;208,15;208,35;206,20;208,35;207,592;1189447;246887432,28;5507;
2022-04-13;207,70;207,80;206,40;208,15;204,90;208,15;206,841;2575875;532785456,54;9141;
2022-04-12;206,35;206,45;205,30;207,90;202,90;206,40;206,062;2815953;580354369,63;9663;
2022-04-11;206,30;206,40;210,00;210,70;206,30;207,30;208,093;3409129;709414950,27;12323;
2022-04-08;209,70;209,80;211,65;211,65;208,25;210,00;209,874;2843315;596733165,07;10581;
2022-04-07;209,20;209,30;208,35;211,55;207,25;209,35;209,562;2811276;589142494,08;9416;
2022-04-06;207,70;207,80;209,50;210,15;205,35;208,05;207,684;3897493;809442520,36;13080;
2022-04-05;209,80;209,90;210,90;212,90;209,30;210,30;210,79;2837239;598372012,05;11423;
2022-04-04;211,20;211,25;210,25;211,85;207,60;210,90;210,305;2738671;575957914,62;10665;
2022-04-01;209,55;209,60;205,30;209,60;203,75;209,35;207,635;2906880;603269377,38;11411;
2022-03-31;206,05;206,15;209,10;210,25;205,70;206,15;206,614;3003781;620648632,94;9352;
2022-03-30;208,60;208,70;210,20;210,80;205,00;208,50;207,57;2753215;571466674,62;13583;
2022-03-29;210,10;210,20;209,00;212,10;207,20;210,05;209,739;3110125;652286497,16;12372;
2022-03-28;205,90;206,00;203,60;206,50;203,25;205,85;205,409;2305890;473636228,49;10354;
2022-03-25;202,95;203,05;203,10;205,65;201,65;202,70;203,476;2481278;504938183,72;13157;
2022-03-24;202,95;203,05;206,70;207,15;202,50;203,10;203,843;2465790;502642852,68;9883;
2022-03-23;206,50;206,55;210,05;210,90;205,10;206,70;207,037;2219217;459430121,75;11070;
2022-03-22;209,15;209,20;209,00;210,30;207,25;209,20;208,852;2459136;513560912,61;9337;
2022-03-21;208,65;208,75;208,55;209,25;206,30;208,50;208,083;2842707;590541857,41;11560;
2022-03-18;208,60;208,70;207,20;209,20;205,80;209,20;208,382;6320174;1316947470,93;14637;
2022-03-17;205,80;205,90;206,00;207,30;203,10;206,00;205,526;5412613;1112418967,16;16240;
2022-03-16;204,30;204,40;201,00;204,45;200,00;204,00;202,542;5518034;1117679458,2;15129;
2022-03-15;195,10;195,14;195,50;196,72;192,16;195,26;194,695;3231778;629210050,33;12094;
2022-03-14;196,36;196,42;193,86;198,74;191,02;196,28;194,946;4267558;831927762,57;17981;
2022-03-11;192,00;192,08;190,18;195,54;189,90;191,56;192,214;4347921;835740182,95;15572;
2022-03-10;188,42;188,48;191,70;192,50;186,94;188,78;189,143;4961650;938458123,86;17777;
2022-03-09;189,80;189,90;187,20;190,56;184,16;189,88;187,845;4429238;831902504,35;15168;
2022-03-08;182,80;182,88;181,00;187,50;180,34;182,60;184,345;5280788;973708551,37;19291;
2022-03-07;181,96;182,02;174,68;184,94;173,70;181,68;178,712;7530832;1345750661,58;34524;
2022-03-04;182,10;182,18;184,46;185,94;180,68;181,92;182,893;4837212;884696950,6;24054;
